GroupID,Length(mm),Quantity,Members
1,142,3,A04.2:B15.3 | B04.2:C15.3 | C04.2:A15.3
2,184,3,B04.3:B23.3 | C04.3:C23.3 | A04.3:A23.3
3,272,3,A03.4:A11.3 | B03.4:B11.3 | C03.4:C11.3
4,292,3,A12.3:A35.3 | B12.3:B35.3 | C12.3:C35.3
5,344,3,C26.3:C43.3 | B26.3:B43.3 | A26.3:A43.3
6,457,3,C14.3:C31.3 | B14.3:B31.3 | A14.3:A31.3
7,600,3,B22.3:B45.3 | A22.3:A45.3 | C22.3:C45.3
8,654,3,A01.4:C13.3 | C01.4:B13.3 | B01.4:A13.3
9,700,3,C03.3:A25.3 | B03.3:C25.3 | A03.3:B25.3
10,733,3,B21.1:B16.2 | C21.1:C16.2 | A21.1:A16.2
11,738,3,C33.1:C24.2 | A33.1:A24.2 | B33.1:B24.2
12,741,3,C33.2:C22.1 | B33.2:B22.1 | A33.2:A22.1
13,745,3,C21.2:C14.1 | A21.2:A14.1 | B21.2:B14.1
14,750,6,C41.2:C34.1 | B41.2:B34.1 | A41.2:A34.1 | C35.1:C22.2 | A35.1:A22.2 | B35.1:B22.2
15,756,3,C45.2:C36.2 | A45.2:A36.2 | B45.2:B36.2
16,763,3,C13.1:A02.2 | A13.1:B02.2 | B13.1:C02.2
17,765,6,B25.2:B16.1 | C25.2:C16.1 | A25.2:A16.1 | A31.2:A24.1 | B31.2:B24.1 | C31.2:C24.1
18,766,3,C15.1:B03.2 | B15.1:A03.2 | A15.1:C03.2
19,769,3,A24.3:A41.3 | B24.3:B41.3 | C24.3:C41.3
20,777,3,A31.1:A26.4 | C31.1:C26.4 | B31.1:B26.4
21,778,3,A43.4:A32.1 | C43.4:C32.1 | B43.4:B32.1
22,780,3,A13.4:C03.1 | B13.4:A03.1 | C13.4:B03.1
23,790,6,C23.1:C14.4 | A23.1:A14.4 | B23.1:B14.4 | C35.2:C26.1 | B35.2:B26.1 | A35.2:A26.1
24,801,3,A11.4:B02.1 | C11.4:A02.1 | B11.4:C02.1
25,805,3,C25.1:C12.4 | B25.1:B12.4 | A25.1:A12.4
26,834,6,C23.4:C12.1 | A23.4:A12.1 | B23.4:B12.1 | C11.1:C04.4 | A11.1:A04.4 | B11.1:B04.4
27,838,3,B15.4:B04.1 | C15.4:C04.1 | A15.4:A04.1
28,841,3,C41.1:C36.4 | B41.1:B36.4 | A41.1:A36.4
29,877,3,C51.1:C46.1 | A51.1:A46.1 | B51.1:B46.1
30,880,3,B32.3:B46.2 | C32.3:C46.2 | A32.3:A46.2
31,883,3,A34.3:A44.1 | C34.3:C44.1 | B34.3:B44.1
32,888,3,B43.1:B34.4 | C43.1:C34.4 | A43.1:A34.4
33,890,3,C51.2:C44.2 | A51.2:A44.2 | B51.2:B44.2
34,892,3,A45.1:A32.4 | C45.1:C32.4 | B45.1:B32.4
35,893,3,C51.3:C42.2 | A51.3:A42.2 | B51.3:B42.2
36,955,1,Z2.1:B01.1
37,959,1,Z2.2:A01.1
38,963,1,Z2.3:C01.1
39,966,3,C02.4:B21.3 | B02.4:A21.3 | A02.4:C21.3
40,1016,3,A36.3:A42.1 | B36.3:B42.1 | C36.3:C42.1
41,1024,3,A16.3:A33.3 | B16.3:B33.3 | C16.3:C33.3
42,1190,3,B15.2:B12.2 | C15.2:C12.2 | A15.2:A12.2
43,1269,3,A23.2:A26.2 | B23.2:B26.2 | C23.2:C26.2
44,1271,3,B11.2:B14.2 | A11.2:A14.2 | C11.2:C14.2
45,1276,3,B41.4:B44.4 | C41.4:C44.4 | A41.4:A44.4
46,1279,3,A43.2:A46.4 | B43.2:B46.4 | C43.2:C46.4
47,1281,3,C45.4:C42.4 | A45.4:A42.4 | B45.4:B42.4
48,1288,3,A13.2:A16.4 | B13.2:B16.4 | C13.2:C16.4
49,1300,3,C21.4:C24.4 | A21.4:A24.4 | B21.4:B24.4
50,1305,3,A25.4:A22.4 | C25.4:C22.4 | B25.4:B22.4
51,1307,3,C52.1:C42.3 | A52.1:A42.3 | B52.1:B42.3
52,1314,3,C52.2:C44.3 | A52.2:A44.3 | B52.2:B44.3
53,1318,3,C52.3:C46.3 | A52.3:A46.3 | B52.3:B46.3
54,1362,1,Z1.1:C01.3
55,1363,3,B35.4:B32.2 | C35.4:C32.2 | A35.4:A32.2
56,1368,1,Z1.2:A01.3
57,1369,3,B33.4:B36.1 | C33.4:C36.1 | A33.4:A36.1
58,1374,1,Z1.3:B01.3
59,1383,3,A31.4:A34.2 | C31.4:C34.2 | B31.4:B34.2
60,1410,3,A02.3:B01.2 | C02.3:A01.2 | B02.3:C01.2
