# Open Claw, Phase: slack, Height: 10953.9mm, Created: 2026-05-26 12:36
#
# === Connector parameters (see diagram) ===
# A  radius van de buis (push_radius):        20.0mm  (0.02000m)
# B  marge (push_radius_margin):              1.0mm  (0.00100m)
# C  offset door radius (= t1/2):             2.5mm  (0.00250m)
# D  randafstand (tab_extension):           30.0mm  (0.03000m)
# E  diameter gat (tab_hole_diameter):      14.0mm  (0.01400m)
# t1 dikte staal (disc_thickness):             5.0mm  (0.00500m)
# t2 dikte POM (disc_separator):              2.0mm  (0.00200m)
#    cap_thickness:                           5.0mm  (0.00500m)
#    pull_radius:                             7.0mm  (0.00700m)
#
# === Afgeleide waarden ===
#    A + B + C  = 23.5mm  (halve breedte schijf)
#    C + D + E  = 46.5mm  (tab lengte)
#    t1 + t2    = 7.0mm  (schijf + separator)
#    disc_center_offset(0) = 9.5mm  (as-afstand tot centrum eerste schijf)
#
# Orientation check (CSV coords, mm, Z-up): ground plane at Z=0, apex at Z=10953.9
# Lowest[1]: joint=C52 X=2953.9 Y=884.0 Z=3769.5
# Lowest[2]: joint=B52 X=-711.8 Y=-2999.5 Z=3769.6
# Lowest[3]: joint=A52 X=-2241.8 Y=2117.0 Z=3770.0
# Highest:   joint=Z1 X=0.8 Y=-0.1 Z=10953.9
# === Bend snap quality ===
# Bend count (K):       4
# Magnitude source:     LOCKED to factory inventory (no per-export reoptimisation)
# Optimal magnitudes:   [12°, 30°, 49°, 68°]
# Effective signed set: [-68°, -49°, -30°, -12°, +12°, +30°, +49°, +68°]
# Bend counts (signed): -68°×60  -49°×114  -30°×78  -12°×27  +12°×51  +30°×24  +49°×6  +68°×0
# Bend counts (per magnitude): 12°×78  30°×102  49°×120  68°×60
# Cable ends measured:  360
# Snap error:           mean |Δ|=4.77°  max |Δ|=9.43°  RMS=5.54°
#
# === Tab arm clearance ===
# Per joint-end, minimum 3D distance between any two arm segments (tab_pos -> pull_end_pos).
# Joint-ends measured: 92
# Pairs measured:      528
# Clearance:           min=15.0mm  mean=38.7mm  max=51.5mm
#
Index,Role,Length(m),Strain,AlphaX,AlphaY,AlphaZ,AlphaJoint,AlphaSlot,AlphaAngle,OmegaX,OmegaY,OmegaZ,OmegaJoint,OmegaSlot,OmegaAngle
35,push,2.040,-3.656e-2,-1726.470,875.419,8158.932,A21,0,90,-862.718,2038.237,6722.977,A22,0,90
36,push,2.040,-3.656e-2,106.094,-1933.146,8158.898,B21,0,90,-1332.660,-1766.598,6722.777,B22,0,90
37,push,2.040,-3.655e-2,1622.248,1058.270,8158.928,C21,0,90,2197.263,-271.182,6722.895,C22,0,90
38,push,2.049,-3.225e-2,-357.750,1001.232,8992.802,A13,0,90,-1539.385,590.141,7370.393,A14,0,90
39,push,2.049,-3.224e-2,-687.198,-810.690,8992.805,B13,0,90,259.588,-1628.468,7370.352,B14,0,90
40,push,2.049,-3.223e-2,1046.615,-190.100,8992.828,C13,0,90,1281.567,1038.825,7370.448,C14,0,90
41,push,2.353,-6.862e-2,475.717,500.407,7638.777,C04,0,90,39.729,-1310.681,9077.119,C02,0,90
42,push,2.353,-6.862e-2,196.253,-661.398,7638.733,B04,0,90,-1154.176,621.627,9077.188,B02,0,90
43,push,2.353,-6.862e-2,-670.186,161.457,7638.760,A04,0,90,1116.074,689.414,9077.336,A02,0,90
44,push,2.404,-4.867e-2,160.586,1100.422,8271.825,C03,0,90,-614.161,-625.714,9754.725,C01,0,90
45,push,2.404,-4.867e-2,-1032.316,-411.337,8271.848,A03,0,90,850.029,-219.438,9754.659,A01,0,90
46,push,2.404,-4.866e-2,873.417,-688.566,8271.784,B03,0,90,-233.925,845.400,9754.881,B01,0,90
47,pull,0.142,9.017e-2,-636.867,115.445,7644.694,A04,2,-49,-523.761,45.296,7693.958,B15,3,+30
48,pull,0.142,9.018e-2,219.441,-609.537,7644.668,B04,2,-49,223.659,-476.497,7693.927,C15,3,+30
49,pull,0.142,9.016e-2,419.210,494.560,7644.709,C04,2,-49,301.854,431.639,7693.993,A15,3,+30
50,pull,0.184,1.252e-1,159.121,-700.077,7584.106,B04,3,+12,20.120,-764.014,7482.739,B23,3,+30
51,pull,0.184,1.252e-1,527.785,487.594,7584.154,C04,3,+12,652.690,399.199,7482.772,C23,3,+30
52,pull,0.184,1.251e-1,-685.115,212.955,7584.135,A04,3,+12,-671.005,365.322,7482.741,A23,3,+30
53,pull,0.272,5.695e-2,-1059.521,-355.320,8287.378,A03,4,-30,-1057.404,-135.852,8448.631,A11,3,+12
54,pull,0.272,5.697e-2,838.510,-740.137,8287.310,B03,4,-30,647.355,-848.085,8448.596,B11,3,+12
55,pull,0.272,5.697e-2,222.702,1095.978,8287.353,C03,4,-30,411.792,984.363,8448.667,C11,3,+12
56,pull,0.292,6.801e-2,-535.248,1279.933,7051.669,A12,3,+12,-648.208,1202.810,6793.651,A35,3,+30
57,pull,0.292,6.797e-2,-839.832,-1103.770,7051.640,B12,3,+12,-716.529,-1162.979,6793.615,B35,3,+30
58,pull,0.292,6.798e-2,1376.883,-175.658,7051.680,C12,3,+12,1366.564,-39.231,6793.611,C35,3,+30
59,pull,0.344,4.056e-2,1478.535,791.617,6322.088,C26,3,+12,1539.823,545.665,6089.819,C43,3,+12
60,pull,0.344,4.057e-2,-52.994,-1675.311,6321.967,B26,3,+12,-296.724,-1605.397,6089.632,B43,3,+12
61,pull,0.344,4.054e-2,-1423.745,884.395,6322.076,A26,3,+12,-1241.328,1060.584,6089.705,A43,3,+12
62,pull,0.457,6.357e-2,1341.908,1071.645,7330.052,C14,3,+49,1711.600,1249.893,7130.117,C31,3,+12
63,pull,0.457,6.355e-2,257.837,-1697.129,7329.948,B14,3,+49,227.350,-2106.386,7129.949,B31,3,+12
64,pull,0.457,6.355e-2,-1597.977,625.984,7329.993,A14,3,+49,-1937.182,857.059,7130.066,A31,3,+12
65,pull,0.600,2.985e-2,-1341.199,-1827.472,6677.167,B22,3,+12,-1375.261,-2334.936,6360.011,B45,3,+12
66,pull,0.600,2.980e-2,-911.161,2076.077,6677.369,A22,3,+12,-1333.889,2359.491,6360.102,A45,3,+12
67,pull,0.600,2.978e-2,2254.239,-248.141,6677.268,C22,3,+12,2711.109,-23.568,6359.724,C45,3,+12
68,pull,0.654,3.458e-2,894.753,-214.057,9708.942,A01,4,-30,1025.281,-182.805,9069.259,C13,3,+49
69,pull,0.654,3.456e-2,-631.870,-667.135,9709.009,C01,4,-30,-670.206,-795.852,9069.232,B13,3,+49
70,pull,0.654,3.454e-2,-260.948,881.448,9709.171,B01,4,-30,-353.385,979.089,9069.226,A13,3,+49
71,pull,0.700,5.611e-2,115.773,1154.725,8235.836,C03,3,+30,-409.203,1561.923,8015.250,A25,3,+30
72,pull,0.700,5.609e-2,942.852,-676.911,8235.796,B03,3,+30,1558.100,-425.826,8015.228,C25,3,+30
73,pull,0.700,5.606e-2,-1056.943,-477.294,8235.855,A03,3,+30,-1147.161,-1135.803,8015.170,B25,3,+30
74,pull,0.733,7.170e-2,49.767,-1936.524,8178.588,B21,1,-49,-681.554,-1970.415,8220.551,B16,2,-12
75,pull,0.733,7.170e-2,1653.324,1011.172,8178.620,C21,1,-49,2048.182,394.683,8220.622,C16,2,-12
76,pull,0.733,7.172e-2,-1701.233,925.887,8178.626,A21,1,-49,-1364.881,1576.184,8220.487,A16,2,-12
77,pull,0.745,7.394e-2,1582.083,1079.452,8113.648,C21,2,-30,1312.953,1054.170,7418.937,C14,1,-49
78,pull,0.745,7.397e-2,-1724.738,830.049,8113.646,A21,2,-30,-1568.370,609.645,7418.882,A14,1,-49
79,pull,0.745,7.398e-2,144.523,-1908.958,8113.617,B21,2,-30,257.190,-1663.323,7418.841,B14,1,-49
80,pull,0.741,7.690e-2,2681.570,117.803,7227.919,C33,2,-30,2254.461,-252.831,6748.338,C22,1,-30
81,pull,0.741,7.692e-2,-1238.032,-2380.319,7228.088,B33,2,-30,-1345.379,-1825.297,6748.241,B22,1,-30
82,pull,0.741,7.692e-2,-1441.599,2262.982,7228.277,A33,2,-30,-907.196,2078.599,6748.438,A22,1,-30
83,pull,0.750,7.730e-2,2518.875,1435.668,6337.497,C41,2,-30,2155.862,1263.167,5703.858,C34,1,-49
84,pull,0.750,7.731e-2,-15.726,-2898.317,6337.429,B41,2,-30,16.350,-2497.773,5703.727,B34,1,-49
85,pull,0.750,7.732e-2,-2501.433,1463.537,6337.807,A41,2,-30,-2170.807,1235.584,5703.940,A34,1,-49
86,pull,0.738,7.775e-2,2713.795,223.102,7262.876,C33,1,-49,2639.524,954.775,7198.801,C24,2,-12
87,pull,0.738,7.777e-2,-1548.908,2238.235,7263.235,A33,1,-49,-2145.518,1808.216,7198.869,A24,2,-12
88,pull,0.738,7.777e-2,-1162.940,-2460.873,7263.033,B33,1,-49,-492.172,-2762.429,7198.759,B24,2,-12
89,pull,0.756,8.064e-2,2793.549,60.026,6299.432,C45,2,-30,3072.080,683.344,5974.856,C36,2,-49
90,pull,0.756,8.067e-2,-1447.505,2389.128,6299.831,A45,2,-30,-2126.618,2318.900,5975.233,A36,2,-49
91,pull,0.756,8.069e-2,-1344.135,-2448.145,6299.711,B45,2,-30,-943.944,-3001.230,5974.952,B36,2,-49
92,pull,0.750,8.232e-2,1423.209,-35.158,6733.852,C35,1,-49,2136.235,-266.548,6703.755,C22,2,-30
93,pull,0.750,8.236e-2,-680.055,1249.844,6733.900,A35,1,-49,-836.215,1983.070,6703.834,A22,2,-30
94,pull,0.750,8.237e-2,-741.335,-1214.070,6733.862,B35,1,-49,-1298.143,-1716.053,6703.646,B22,2,-30
95,pull,0.778,9.672e-2,-1185.833,1148.404,6007.972,A43,4,-30,-1182.131,1769.547,5540.026,A32,1,-68
96,pull,0.778,9.674e-2,1588.105,453.697,6008.067,C43,4,-30,2124.029,140.009,5539.849,C32,1,-68
97,pull,0.778,9.674e-2,-400.527,-1601.213,6007.904,B43,4,-30,-940.319,-1908.489,5539.875,B32,1,-68
98,pull,0.765,1.024e-1,-1128.010,-1259.790,8015.476,B25,2,-12,-798.486,-1923.081,8207.586,B16,1,-49
99,pull,0.765,1.025e-1,1655.911,-347.254,8015.549,C25,2,-12,2065.653,269.749,8207.666,C16,1,-49
100,pull,0.765,1.025e-1,-526.153,1607.358,8015.566,A25,2,-12,-1265.418,1653.781,8207.533,A16,1,-49
101,pull,0.765,1.034e-1,-2012.029,955.936,7116.841,A31,2,-12,-2197.955,1695.359,7180.840,A24,1,-49
102,pull,0.765,1.034e-1,179.144,-2220.640,7116.705,B31,2,-12,-368.218,-2751.409,7180.734,B24,1,-49
103,pull,0.765,1.034e-1,1834.655,1265.273,7116.876,C31,2,-12,2568.004,1056.617,7180.804,C24,1,-49
104,pull,0.777,1.045e-1,-1951.253,880.381,7052.134,A31,1,-68,-1501.766,848.596,6419.460,A26,4,-30
105,pull,0.777,1.046e-1,1738.823,1250.425,7052.186,C31,1,-68,1486.554,877.085,6419.476,C26,4,-30
106,pull,0.777,1.046e-1,214.196,-2130.223,7052.011,B31,1,-68,17.016,-1724.995,6419.347,B26,4,-30
107,pull,0.790,1.070e-1,725.749,417.453,7433.033,C23,1,-68,1236.628,1011.220,7333.874,C14,4,-30
108,pull,0.790,1.070e-1,-723.344,419.466,7432.997,A23,1,-68,-1493.006,565.023,7333.824,A14,4,-30
109,pull,0.790,1.070e-1,-0.603,-836.410,7432.997,B23,1,-68,258.152,-1575.743,7333.784,B14,4,-30
110,pull,0.763,1.079e-1,1049.525,-131.123,9020.560,C13,1,-30,1123.157,625.777,9080.854,A02,2,-30
111,pull,0.763,1.079e-1,-410.281,974.265,9020.529,A13,1,-30,-1102.604,659.576,9080.711,B02,2,-30
112,pull,0.763,1.079e-1,-637.580,-842.705,9020.532,B13,1,-30,-18.919,-1284.989,9080.646,C02,2,-30
113,pull,0.766,1.119e-1,270.190,-435.037,7756.724,C15,1,-49,831.642,-677.104,8217.665,B03,2,-12
114,pull,0.766,1.119e-1,-511.120,-15.732,7756.760,B15,1,-49,-1001.508,-380.893,8217.724,A03,2,-12
115,pull,0.766,1.120e-1,242.681,451.210,7756.794,A15,1,-49,171.553,1058.518,8217.703,C03,2,-12
116,pull,0.780,1.169e-1,-292.320,1017.465,8967.342,A13,4,-12,124.378,1118.728,8315.706,C03,1,-49
