Index;X;Y;Z
187;61.59;599.28;-2733.71
188;0.00;0.00;-2805.00
189;61.41;599.41;2733.81
190;0.00;0.00;2805.00
191;-3570.00;0.00;-3060.00
192;-3570.00;0.00;3060.00
193;6120.00;0.00;-4080.00
194;6120.00;0.00;4080.00
195;1530.00;0.00;-5100.00
196;1530.00;0.00;5100.00
