Joints;Role;Length;Strain
="172,148";Pulling;1242.09;0.0081453221
="43,1";Pulling;561.54;0.0033343281
="113,88";Pulling;525.50;0.0036300079
="71,12";Pulling;579.98;0.0048002074
="83,16";Pulling;652.98;0.0043205018
="149,98";Pulling;629.38;0.0029415840
="103,70";Pulling;525.53;0.0036362594
="37,18";Pulling;411.36;0.0025211829
="101,26";Pulling;621.86;0.0026315083
="129,72";Pulling;692.83;0.0029992305
="45,17";Pulling;634.80;0.0044359230
="175,132";Pulling;426.07;0.0039686807
="49,9";Pulling;576.52;0.0039556012
="183,138";Pulling;673.20;0.0021407444
="181,136";Pulling;623.74;0.0024275293
="155,104";Pulling;548.62;0.0032445327
="76,6";Pulling;638.23;0.0037031469
="171,122";Pulling;796.60;0.0029199214
="99,30";Pulling;528.21;0.0031592522
="25,16";Pulling;421.60;0.0020509274
="139,96";Pulling;629.42;0.0029479053
="169,126";Pulling;538.51;0.0036008493
="179,130";Pulling;623.76;0.0024247363
="89,14";Pulling;579.81;0.0047922120
="168,144";Pulling;1159.57;0.0088004218
="185,134";Pulling;426.07;0.0039761835
="165,120";Pulling;796.61;0.0029167295
="133,78";Pulling;672.28;0.0035883039
="187,166";Pulling;779.66;0.0077520972
="188,166";Pulling;780.76;0.0041850088
="187,164";Pulling;785.18;0.0079959687
="188,164";Pulling;772.15;0.0038730898
="189,172";Pulling;779.61;0.0077586281
="190,172";Pulling;780.90;0.0041790693
="189,174";Pulling;785.14;0.0080063539
="190,174";Pulling;772.17;0.0038646294
